0200 - Universidade do Algarve,0203 - Faculdade de Ciências e Tecnologia,L1 - Licenciatura - 1º ciclo,9119 - Engenharia Informática,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,29,202,179,23,202,190,19,209,170,21,191
0200 - Universidade do Algarve,0203 - Faculdade de Ciências e Tecnologia,M2 - Mestrado - 2º ciclo,9286 - Engenharia Informática,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,22,8,1,9,8,3,11
0200 - Universidade do Algarve,0203 - Faculdade de Ciências e Tecnologia,D3 - Doutoramento - 3º ciclo,5141 - Engenharia Informática,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,5
0200 - Universidade do Algarve,3081 - Escola Superior de Educação e Comunicação de Faro,DE - Diploma de estudos superiores Especializados,2092 - Computadores no Ensino,7,6,13,6,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0300 - Universidade de Aveiro,0300 - Universidade de Aveiro,L - Licenciatura,0231 - Engenharia de Computadores e Telemática,0,0,0,0,0,0,0,0,0,51,0,51,80,4,84,126,7,133,175,12,187,220,17,237,263,21,284,284,19,303,299,26,325,244,17,261,0,0,0,0,0,0,0,0,0,0,0,0
0300 - Universidade de Aveiro,0300 - Universidade de Aveiro,L - Licenciatura,0663 - Electrónica e Informática (Ensino de),0,0,0,0,0,0,0,0,0,168,18,186,137,15,152,118,15,133,124,15,139,125,13,138,120,13,133,104,15,119,105,20,125,43,10,53,24,6,30,12,1,13,5,0,5,0,0,0
0300 - Universidade de Aveiro,0300 - Universidade de Aveiro,MI - Mestrado Integrado,9361 - Engenharia de Computadores e Telemática,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,9,99,360,26,386,360,27,387,361,26,387,367,31,398
0300 - Universidade de Aveiro,0300 - Universidade de Aveiro,D - Doutoramento,5299 - Engenharia Informática,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,4,0,4,8,0,8,9,0,9,6,0,6,12,2,14,2,0,2
0300 - Universidade de Aveiro,0300 - Universidade de Aveiro,D3 - Doutoramento - 3º ciclo,5141 - Engenharia Informática,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,11,6,0,6,18,2,20
0300 - Universidade de Aveiro,0300 - Universidade de Aveiro,D3 - Doutoramento - 3º ciclo,5176 - Informática,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,33,3,36,38,4,42
0400 - Universidade da Beira Interior,,C - Curso de Especialização Tecnológica,7001 - Aplicações Informáticas de Gestão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8,1,7,8,0,0,0,0,0,0,0,0,0,0,0,0
0400 - Universidade da Beira Interior,,L - Licenciatura,0292 - Engenharia Informática,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,15,97,160,27,187,219,37,256,249,38,287,248,37,285,36,9,45,6,4,10,0,1,1,0,0,0,0,0,0
0400 - Universidade da Beira Interior,,L - Licenciatura,0480 - Informática (Ensino de),0,0,0,0,0,0,0,0,0,22,12,34,38,26,64,61,27,88,60,28,88,46,30,76,45,34,79,41,34,75,36,35,71,36,32,68,9,15,24,4,6,10,0,0,0,0,0,0
0400 - Universidade da Beira Interior,,L - Licenciatura,0574 - Matemática/Informática,166,116,282,163,113,276,153,107,260,131,105,236,133,100,233,134,81,215,93,64,157,73,50,123,49,40,89,36,31,67,22,24,46,13,13,26,6,5,11,3,2,5,0,0,0,0,0,0
0400 - Universidade da Beira Interior,,L1 - Licenciatura - 1º ciclo,9112 - Engenharia Electrotécnica e de Computadores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,32,8,0,8,0,0,0,21,1,22
0400 - Universidade da Beira Interior,,L1 - Licenciatura - 1º ciclo,9119 - Engenharia Informática,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,27,255,211,21,232,218,22,240,229,25,254,221,20,241
0400 - Universidade da Beira Interior,,M - Mestrado,4208 - Engenharia Informática,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12,0,0,0,10,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0400 - Universidade da Beira Interior,,M2 - Mestrado - 2º ciclo,6091 - Engenharia Electrotécnica e de Computadores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,19,26,2,28,13,2,15,11,4,15
0400 - Universidade da Beira Interior,,M2 - Mestrado - 2º ciclo,9286 - Engenharia Informática,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,40,32,6,38,28,1,29,26,2,28
0400 - Universidade da Beira Interior,,D - Doutoramento,5299 - Engenharia Informática,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,5,7,0,7,6,0,6,6,0,6,9,0,9,13,1,14,5,1,6,5,0,5,4,0,4,0,0,0
0400 - Universidade da Beira Interior,,D - Doutoramento,5415 - Informática,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0400 - Universidade da Beira Interior,,D3 - Doutoramento - 3º ciclo,5138 - Engenharia Electrotécnica e de Computadores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,8,0,8
0400 - Universidade da Beira Interior,,D3 - Doutoramento - 3º ciclo,5141 - Engenharia Informática,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,10,2,12,16,2,18,19,0,19
0400 - Universidade da Beira Interior,,D3 - Doutoramento - 3º ciclo,5176 - Informática,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1
0500 - Universidade de Coimbra,0501 - Faculdade de Ciências e Tecnologia,L - Licenciatura,0255 - Engenharia Electrotécnica e de Computadores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,60,790,733,56,789,713,58,771,709,53,762,687,51,738,617,53,670,11,0,11,0,0,0,0,0,0,0,0,0
0500 - Universidade de Coimbra,0501 - Faculdade de Ciências e Tecnologia,L - Licenciatura,0292 - Engenharia Informática,257,57,314,304,58,362,366,54,420,406,45,451,451,49,500,497,49,546,543,62,605,562,62,624,579,62,641,578,64,642,585,60,645,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0
0500 - Universidade de Coimbra,0501 - Faculdade de Ciências e Tecnologia,L1 - Licenciatura - 1º ciclo,9119 - Engenharia Informática,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635,56,691,631,41,672,615,51,666,612,45,657,553,45,598
0500 - Universidade de Coimbra,0501 - Faculdade de Ciências e Tecnologia,MI - Mestrado Integrado,9367 - Engenharia Electrotécnica e de Computadores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678,56,734,647,48,695,596,46,642,614,50,664
0500 - Universidade de Coimbra,0501 - Faculdade de Ciências e Tecnologia,E - Especialização pós-licenciatura,3195 - Engenharia Informática,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10,8,6,14,5,0,5,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0500 - Universidade de Coimbra,0501 - Faculdade de Ciências e Tecnologia,E - Especialização pós-licenciatura,3251 - Automação e Informática Industrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0
0500 - Universidade de Coimbra,0501 - Faculdade de Ciências e Tecnologia,M - Mestrado,4195 - Engenharia Electrotécnica e de Computadores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,28,32,2,34,21,4,25,12,3,15,22,1,23,19,2,21,26,1,27,16,2,18,0,0,0,0,0,0,0,0,0
0500 - Universidade de Coimbra,0501 - Faculdade de Ciências e Tecnologia,M - Mestrado,4208 - Engenharia Informática,0,0,0,12,8,20,17,3,20,14,7,21,15,7,22,17,6,23,9,2,11,24,8,32,6,1,7,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0500 - Universidade de Coimbra,0501 - Faculdade de Ciências e Tecnologia,M - Mestrado,4581 - Informática e Sistemas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,10,0,10,14,3,17,6,0,6,2,2,4,0,0,0,0,0,0,0,0,0
0500 - Universidade de Coimbra,0501 - Faculdade de Ciências e Tecnologia,M2 - Mestrado - 2º ciclo,6313 - Informática e Projecto de Software,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1
0500 - Universidade de Coimbra,0501 - Faculdade de Ciências e Tecnologia,M2 - Mestrado - 2º ciclo,9286 - Engenharia Informática,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,12,71,92,13,105,130,16,146,108,13,121,137,13,150
0500 - Universidade de Coimbra,0501 - Faculdade de Ciências e Tecnologia,D - Doutoramento,5299 - Engenharia Informática,0,0,0,0,0,0,0,0,0,12,11,23,1,0,1,3,0,3,1,0,1,30,2,32,32,1,33,29,1,30,29,1,30,33,4,37,31,7,38,14,5,19,23,9,32,21,7,28
0500 - Universidade de Coimbra,0501 - Faculdade de Ciências e Tecnologia,D3 - Doutoramento - 3º ciclo,5138 - Engenharia Electrotécnica e de Computadores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,21,36,2,38,49,3,52
0600 - Universidade de Évora,0600 - Universidade de Évora,L - Licenciatura,0292 - Engenharia Informática,42,13,55,94,19,113,139,30,169,186,28,214,240,31,271,268,26,294,308,26,334,311,32,343,329,46,375,336,35,371,328,32,360,264,26,290,25,0,25,3,0,3,0,0,0,0,0,0
0600 - Universidade de Évora,0600 - Universidade de Évora,L - Licenciatura,1592 - Informática e Gestão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,37,47,15,62,57,18,75,26,9,35,17,6,23,13,3,16,0,0,0,0,0,0
0600 - Universidade de Évora,0600 - Universidade de Évora,L1 - Licenciatura - 1º ciclo,9119 - Engenharia Informática,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,23,258,205,16,221,186,16,202,0,0,0
0600 - Universidade de Évora,0600 - Universidade de Évora,M - Mestrado,4208 - Engenharia Informática,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,4,1,5,11,1,12,13,1,14,8,2,10,0,0,0,0,0,0,0,0,0,0,0,0
0600 - Universidade de Évora,0600 - Universidade de Évora,M2 - Mestrado - 2º ciclo,9286 - Engenharia Informática,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,10,76,72,10,82,59,8,67,0,0,0
